window,category,signals,reverted,revRate,avgBars,avgDD,maxDD
Conservative,NO_NEWS,2314,963,41.62,9.53,0.0929,0.8818
Conservative,NEWS_MEDIUM,15,3,20.00,16.67,0.2493,0.5322
Conservative,NEWS_HIGH,9,1,11.11,6.00,0.1775,0.4688
Conservative,NEWS_DAY,346,164,47.40,9.23,0.0898,1.3355
Moderate,NO_NEWS,2295,957,41.70,9.54,0.0924,0.8818
Moderate,NEWS_MEDIUM,32,6,18.75,10.83,0.2126,0.5322
Moderate,NEWS_HIGH,18,8,44.44,7.75,0.1132,0.4688
Moderate,NEWS_DAY,339,160,47.20,9.31,0.0895,1.3355
Standard,NO_NEWS,2263,942,41.63,9.52,0.0916,0.8818
Standard,NEWS_MEDIUM,53,13,24.53,9.54,0.1802,0.5322
Standard,NEWS_HIGH,46,22,47.83,8.91,0.1559,0.6742
Standard,NEWS_DAY,322,154,47.83,9.47,0.0848,1.3355
Aggressive,NO_NEWS,2242,939,41.88,9.55,0.0908,0.8818
Aggressive,NEWS_MEDIUM,73,17,23.29,8.06,0.1797,0.7589
Aggressive,NEWS_HIGH,60,32,53.33,9.03,0.1393,0.6742
Aggressive,NEWS_DAY,309,143,46.28,9.50,0.0852,1.3355