hour,session,count,avgATR,avgATRPercent,avgADX,trendPercent,rangePercent,avgRSI,TREND_UP,TREND_DOWN,RANGE_QUIET,RANGE_VOLATILE,UNCERTAIN
0,ASIAN,3084,2.424539,0.0709,24.94,27.17,72.83,52.08,501,337,1254,992,0
1,ASIAN,3085,2.966699,0.0872,27.16,31.83,68.17,51.61,608,374,781,1322,0
2,ASIAN,3084,3.013475,0.0890,26.89,30.67,69.33,51.58,524,422,734,1404,0
3,ASIAN,3086,2.732738,0.0808,25.77,27.80,72.20,51.60,465,393,935,1293,0
4,ASIAN,3084,2.315646,0.0685,25.04,27.11,72.89,51.16,467,369,1178,1070,0
5,ASIAN,3081,2.270189,0.0669,25.08,24.96,75.04,50.98,398,371,1305,1007,0
6,ASIAN,3082,2.601771,0.0766,26.30,28.84,71.16,51.18,461,428,901,1292,0
7,ASIAN,3084,2.733157,0.0806,26.44,27.82,72.18,51.54,461,397,837,1389,0
8,ASIAN,3084,2.815086,0.0832,26.48,29.41,70.59,51.84,497,410,760,1417,0
9,LONDON,3084,2.738589,0.0810,25.95,26.65,73.35,51.82,489,333,933,1329,0
10,LONDON,3085,2.600546,0.0771,24.78,22.14,77.86,50.95,354,329,1184,1218,0
11,LONDON,3084,2.582641,0.0766,24.11,21.53,78.47,51.06,352,312,1220,1200,0
12,LONDON,3073,2.895501,0.0858,24.15,22.23,77.77,51.08,379,304,966,1424,0
13,LONDON_NY_OVERLAP,3072,3.594973,0.1068,25.96,28.45,71.55,50.64,484,390,550,1648,0
14,LONDON_NY_OVERLAP,3050,4.209201,0.1251,26.83,33.02,66.98,50.95,516,491,199,1844,0
15,LONDON_NY_OVERLAP,3048,4.073986,0.1213,26.28,30.64,69.36,51.44,442,492,253,1861,0
16,NEW_YORK,3042,3.577386,0.1065,24.74,25.97,74.03,51.60,392,398,565,1687,0
17,NEW_YORK,3012,3.100166,0.0919,23.27,20.39,79.61,51.16,292,322,962,1436,0
18,NEW_YORK,3008,2.711250,0.0802,21.73,16.09,83.91,51.19,271,213,1347,1177,0
19,NEW_YORK,2998,2.440249,0.0718,22.23,21.35,78.65,51.57,366,274,1325,1033,0
20,NEW_YORK,2987,2.204509,0.0648,22.89,20.76,79.24,50.37,298,322,1467,900,0
21,NEW_YORK,804,1.718292,0.0534,20.81,16.04,83.96,51.50,64,65,517,158,0
22,ASIAN,1584,2.451260,0.0700,23.99,24.68,75.32,51.93,206,185,786,407,0
23,ASIAN,2376,2.109149,0.0613,22.58,17.17,82.83,52.46,261,147,1339,629,0