Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
PUT,4003.98,4005.47,-0.74,30,TIMEOUT,35.9,1.1826,low,sideways,No,bearish,79.3,11.6,No,0.05,0.11,No,No,No,No,19,5
CALL,4005.58,4001.06,-2.26,30,TIMEOUT,50.1,1.3151,low,sideways,No,bullish,77.8,22.2,Yes,0.00,0.27,No,No,No,No,20,5
PUT,4000.90,4012.90,-6.00,3073,SL,51.3,1.2727,low,sideways,Yes,bearish,73.7,17.1,Yes,0.04,3.70,No,Yes,No,No,20,5
CALL,4108.64,4106.61,-0.99,30,TIMEOUT,46.0,1.2448,low,sideways,Yes,bullish,76.3,21.3,Yes,0.03,0.23,No,No,No,No,5,3
CALL,4129.53,4128.55,-0.47,30,TIMEOUT,59.5,1.6187,low,sideways,No,bullish,72.6,27.4,Yes,0.10,0.05,No,No,No,No,8,3
CALL,4127.53,4125.85,-0.81,30,TIMEOUT,59.7,1.5604,low,sideways,No,bullish,54.4,19.7,No,0.01,0.23,No,No,No,No,10,3
CALL,4126.74,4124.99,-0.85,30,TIMEOUT,57.8,1.2124,low,sideways,No,bullish,69.2,11.2,No,0.11,0.05,No,No,No,No,10,3
PUT,4125.19,4127.11,-0.93,30,TIMEOUT,40.1,1.3123,low,sideways,No,bearish,83.3,6.4,No,0.04,0.09,No,No,No,No,11,3
PUT,4126.26,4136.39,-4.91,30,TIMEOUT,47.4,1.3827,low,sideways,No,bearish,56.1,33.3,Yes,0.03,0.28,No,No,No,No,11,3
PUT,4130.61,4132.78,-1.05,30,TIMEOUT,54.4,1.5285,low,sideways,Yes,bearish,58.3,26.2,Yes,0.15,0.18,No,No,No,No,13,3
PUT,4132.25,4138.34,-2.95,30,TIMEOUT,48.0,1.7440,low,sideways,No,bearish,74.9,25.1,No,0.17,0.18,No,No,No,No,14,3
PUT,4175.29,4187.82,-6.00,13,SL,49.5,2.9474,low,sideways,No,bearish,64.2,31.0,No,0.00,0.34,No,Yes,No,No,15,3
PUT,4193.72,4206.30,-6.00,22,SL,41.0,2.5174,low,sideways,No,bearish,68.0,4.9,No,0.01,0.31,No,Yes,No,No,17,3
PUT,4192.98,4197.89,-2.34,30,TIMEOUT,31.1,2.4584,low,down,No,bearish,50.7,23.7,No,0.01,0.18,No,No,No,No,19,3
CALL,4196.47,4194.58,-0.90,30,TIMEOUT,58.3,1.0072,low,sideways,No,bullish,78.0,19.5,No,0.14,0.05,No,No,No,No,21,3
CALL,4204.89,4194.68,-4.86,30,TIMEOUT,66.6,2.3608,low,up,No,bullish,63.3,1.3,No,0.07,0.27,No,No,No,No,23,3
CALL,4192.65,4189.42,-1.54,30,TIMEOUT,36.5,1.2442,low,sideways,Yes,bullish,63.4,31.2,Yes,0.02,0.12,No,No,No,No,23,3
CALL,4202.39,4189.78,-6.00,14,SL,49.6,2.4943,low,sideways,Yes,bullish,50.5,35.6,No,0.03,0.35,No,Yes,No,No,1,4
CALL,4190.43,4188.82,-0.77,30,TIMEOUT,46.1,2.7791,low,sideways,Yes,bullish,71.5,23.1,No,0.01,0.24,No,No,No,No,1,4
CALL,4193.56,4187.90,-2.70,30,TIMEOUT,63.1,2.3116,low,up,No,bullish,90.1,2.8,No,0.06,0.18,No,No,No,No,1,4
PUT,4200.99,4208.08,-3.38,30,TIMEOUT,59.3,1.9459,low,sideways,Yes,bearish,78.1,20.5,No,0.10,0.21,No,No,No,No,3,4
PUT,4208.49,4212.65,-1.98,30,TIMEOUT,42.2,1.4563,low,sideways,No,bearish,59.5,5.2,No,0.12,0.10,No,No,No,No,4,4
CALL,4213.58,4208.70,-2.32,30,TIMEOUT,46.8,1.9181,low,sideways,Yes,bullish,68.3,12.8,Yes,0.05,0.24,No,No,No,No,5,4
PUT,4207.04,4211.43,-2.09,30,TIMEOUT,43.5,1.6662,low,sideways,No,bearish,53.8,26.0,Yes,0.04,0.11,No,No,No,No,6,4
PUT,4214.40,4225.58,-5.31,30,TIMEOUT,51.7,1.7215,low,sideways,No,bearish,55.6,9.6,No,0.04,0.29,No,No,No,No,7,4
CALL,4238.18,4225.47,-6.00,11,SL,64.7,1.7276,low,sideways,No,bullish,57.3,20.1,No,0.03,0.30,No,Yes,No,No,9,4
CALL,4229.61,4225.79,-1.81,30,TIMEOUT,50.7,2.2657,low,sideways,No,bullish,74.7,23.1,No,0.05,0.24,No,No,No,No,11,4
PUT,4231.75,4236.58,-2.28,30,TIMEOUT,61.3,1.6188,low,sideways,Yes,bearish,50.6,29.9,Yes,0.04,0.13,No,No,No,No,11,4
CALL,4214.76,4202.12,-6.00,20,SL,34.2,2.6592,low,down,Yes,bullish,64.8,5.9,Yes,0.12,0.44,No,Yes,No,No,14,4
CALL,4198.52,4197.05,-0.70,30,TIMEOUT,45.9,3.0826,low,sideways,Yes,bullish,55.2,2.8,Yes,0.12,0.28,No,No,No,No,15,4
PUT,4194.74,4203.77,-4.31,30,TIMEOUT,35.8,2.5770,low,sideways,No,bearish,80.5,4.8,No,0.00,0.29,No,No,No,No,17,4
CALL,4156.38,4156.28,-0.05,30,TIMEOUT,30.7,6.7521,medium,down,Yes,bullish,72.6,27.4,No,0.14,0.25,No,No,No,No,18,4
PUT,4153.73,4166.19,-6.00,21,SL,45.5,2.8389,low,sideways,No,bearish,50.6,1.2,No,0.07,0.30,No,Yes,No,No,19,4
PUT,4183.77,4188.29,-2.16,30,TIMEOUT,51.8,1.8095,low,sideways,Yes,bearish,74.5,12.8,Yes,0.10,0.15,No,No,No,No,0,5
PUT,4201.25,4208.70,-3.55,30,TIMEOUT,73.3,1.8272,low,up,Yes,bearish,52.7,21.2,Yes,0.06,0.22,No,No,No,No,2,5
PUT,4207.14,4210.32,-1.51,30,TIMEOUT,56.2,1.7911,low,sideways,Yes,bearish,92.5,7.5,Yes,0.09,0.10,No,No,No,No,3,5
CALL,4208.65,4202.52,-2.91,30,TIMEOUT,51.1,1.2894,low,sideways,Yes,bullish,71.6,28.4,Yes,0.01,0.17,No,No,No,No,3,5
CALL,4189.64,4189.38,-0.12,30,TIMEOUT,46.2,2.2953,low,sideways,No,bullish,65.3,34.7,No,0.17,0.07,No,No,No,No,5,5
CALL,4180.05,4176.42,-1.74,30,TIMEOUT,67.1,1.7768,low,sideways,No,bullish,74.5,20.1,No,0.10,0.16,No,No,No,No,7,5
CALL,4180.50,4167.96,-6.00,20,SL,60.9,2.5618,low,up,No,bullish,64.2,35.8,No,0.00,0.33,No,Yes,No,No,9,5
CALL,4169.52,4169.00,-0.25,30,TIMEOUT,44.4,1.9317,low,sideways,Yes,bullish,78.0,22.0,Yes,0.06,0.16,No,No,No,No,9,5
PUT,4164.61,4166.79,-1.05,30,TIMEOUT,40.9,2.2785,low,sideways,No,bearish,56.8,20.7,No,0.11,0.15,No,No,No,No,10,5
CALL,4170.47,4157.96,-6.00,17,SL,62.9,1.4484,low,sideways,No,bullish,61.7,38.3,No,0.02,0.38,No,Yes,No,No,10,5
PUT,4153.21,4153.77,-0.27,30,TIMEOUT,23.2,2.9575,low,down,No,bearish,54.0,30.3,No,0.26,0.11,No,No,No,Yes,11,5
CALL,4060.85,4048.67,-6.00,4,SL,31.5,6.2664,medium,down,Yes,bullish,69.1,28.0,No,0.07,0.35,No,Yes,No,No,13,5
CALL,4053.55,4041.39,-6.00,26,SL,50.4,4.8345,medium,sideways,No,bullish,70.5,17.8,No,0.16,0.40,No,Yes,No,No,14,5
PUT,4053.10,4065.26,-6.00,3,SL,52.3,6.3550,medium,sideways,Yes,bearish,61.8,28.1,No,0.00,0.37,No,Yes,Yes,No,14,5
PUT,4077.07,4079.01,-0.95,30,TIMEOUT,54.9,4.3751,medium,sideways,Yes,bearish,75.0,21.6,No,0.13,0.15,No,No,No,No,15,5
CALL,4104.02,4097.79,-3.04,30,TIMEOUT,49.9,2.2127,low,sideways,Yes,bullish,67.7,24.5,Yes,0.16,0.24,No,No,No,No,16,5
PUT,4089.48,4099.81,-5.05,30,TIMEOUT,33.1,3.4104,low,down,No,bearish,64.8,23.6,No,0.21,0.29,No,No,No,No,18,5
CALL,4096.90,4095.15,-0.85,30,TIMEOUT,53.6,2.5419,low,sideways,No,bullish,62.2,11.9,No,0.15,0.17,No,No,No,No,18,5
CALL,4095.61,4092.51,-1.51,30,TIMEOUT,51.3,2.0199,low,sideways,No,bullish,72.5,8.7,No,0.00,0.17,No,No,No,No,19,5
PUT,4089.84,4094.53,-2.29,30,TIMEOUT,37.3,1.6838,low,sideways,No,bearish,54.5,27.3,No,0.01,0.13,No,No,No,No,6,3
CALL,4092.31,4089.14,-1.55,30,TIMEOUT,45.8,1.2783,low,sideways,Yes,bullish,85.5,2.4,Yes,0.01,0.18,No,No,No,No,7,3
PUT,4112.89,4113.36,-0.23,30,TIMEOUT,79.0,3.0434,low,up,Yes,bearish,53.9,22.5,Yes,0.09,0.15,No,No,No,No,9,3
PUT,4113.13,4119.02,-2.86,30,TIMEOUT,39.4,1.2786,low,sideways,No,bearish,72.0,28.0,No,0.02,0.16,No,No,No,No,12,3
CALL,4115.84,4103.49,-6.00,14,SL,57.4,2.0916,low,sideways,No,bullish,66.7,24.6,No,0.07,0.33,No,Yes,No,No,14,3
PUT,4115.86,4128.21,-6.00,23,SL,60.9,2.6234,low,up,Yes,bearish,63.6,31.0,Yes,0.15,0.32,No,Yes,No,No,14,3
CALL,4112.76,4100.42,-6.00,12,SL,36.0,3.0885,low,down,Yes,bullish,93.6,6.4,Yes,0.00,0.54,No,Yes,No,No,15,3
CALL,4097.34,4085.05,-6.00,2,SL,36.8,4.0164,low,down,Yes,bullish,64.9,19.4,No,0.03,0.32,No,Yes,Yes,No,16,3
CALL,4070.71,4058.50,-6.00,26,SL,31.7,3.6057,low,down,Yes,bullish,81.7,0.9,Yes,0.18,0.33,No,Yes,No,No,16,3
CALL,4081.56,4077.78,-1.85,30,TIMEOUT,53.6,1.9555,low,sideways,No,bullish,50.7,31.1,No,0.23,0.20,No,No,No,No,18,3
PUT,4073.97,4075.91,-0.95,30,TIMEOUT,38.1,2.8377,low,down,No,bearish,67.2,15.0,No,0.11,0.07,No,No,No,No,19,3
PUT,4068.19,4080.39,-6.00,14,SL,37.7,2.2086,low,sideways,No,bearish,61.8,34.4,No,0.01,0.33,No,Yes,No,No,21,3
PUT,4083.15,4085.91,-1.35,90,TIMEOUT,72.2,1.8798,low,up,Yes,bearish,74.9,25.1,Yes,0.16,0.66,No,Yes,No,No,21,3
CALL,4108.07,4103.07,-2.43,30,TIMEOUT,64.4,2.0787,low,sideways,No,bullish,74.3,8.2,No,0.03,0.14,No,No,No,No,0,4
CALL,4103.58,4096.67,-3.37,30,TIMEOUT,43.0,1.5113,low,sideways,Yes,bullish,62.9,36.5,Yes,0.13,0.17,No,No,No,No,0,4
CALL,4097.85,4095.44,-1.18,30,TIMEOUT,38.7,2.3129,low,sideways,Yes,bullish,69.0,27.0,Yes,0.03,0.23,No,No,No,No,1,4
CALL,4083.85,4071.60,-6.00,5,SL,28.6,2.6285,low,down,Yes,bullish,59.9,28.6,Yes,0.02,0.31,No,Yes,No,No,1,4
CALL,4063.10,4050.91,-6.00,10,SL,19.2,3.9693,low,down,Yes,bullish,55.6,19.1,No,0.09,0.32,No,Yes,No,No,2,4
PUT,4067.06,4079.26,-6.00,7,SL,58.4,2.0641,low,sideways,Yes,bearish,93.0,0.0,No,0.01,0.32,No,Yes,No,No,2,4
CALL,4076.80,4070.27,-3.20,30,TIMEOUT,47.8,1.4184,low,sideways,Yes,bullish,53.5,5.8,Yes,0.00,0.21,No,No,No,No,4,4
PUT,4066.71,4067.81,-0.54,30,TIMEOUT,33.6,1.9454,low,sideways,No,bearish,57.7,32.6,No,0.05,0.14,No,No,No,No,5,4
PUT,4070.27,4075.63,-2.63,30,TIMEOUT,60.6,1.9306,low,sideways,Yes,bearish,71.0,22.8,Yes,0.16,0.13,No,No,No,No,6,4
PUT,4067.67,4067.99,-0.16,30,TIMEOUT,54.4,2.4887,low,sideways,Yes,bearish,61.1,6.1,Yes,0.29,0.02,No,No,No,Yes,9,4
CALL,4063.68,4060.64,-1.50,30,TIMEOUT,52.2,1.6408,low,sideways,No,bullish,51.2,18.6,No,0.08,0.15,No,No,No,No,10,4
PUT,4060.30,4068.52,-4.05,30,TIMEOUT,64.3,1.4600,low,sideways,Yes,bearish,89.0,10.5,Yes,0.09,0.23,No,No,No,No,11,4
PUT,4073.24,4077.50,-2.09,30,TIMEOUT,76.5,2.1800,low,up,Yes,bearish,86.7,2.6,Yes,0.12,0.15,No,No,No,No,12,4
CALL,4082.64,4077.21,-2.66,30,TIMEOUT,46.7,5.5064,medium,sideways,Yes,bullish,85.3,13.6,No,0.32,0.25,No,No,No,Yes,13,4
PUT,4077.18,4082.46,-2.59,30,TIMEOUT,44.5,3.1946,low,sideways,No,bearish,75.0,19.3,No,0.06,0.28,No,No,No,No,14,4
PUT,4087.47,4099.73,-6.00,6,SL,60.0,4.3757,medium,up,Yes,bearish,85.3,14.7,Yes,0.04,0.41,No,Yes,No,No,14,4
CALL,4090.68,4078.41,-6.00,22,SL,48.9,4.0753,low,sideways,Yes,bullish,66.4,25.6,No,0.20,0.34,No,Yes,No,No,15,4
PUT,4078.09,4082.03,-1.93,30,TIMEOUT,30.2,3.9510,low,down,No,bearish,86.2,10.6,No,0.23,0.26,No,No,No,No,15,4
PUT,4055.42,4067.59,-6.00,24,SL,49.2,3.4821,low,sideways,No,bearish,55.7,15.0,No,0.14,0.32,No,Yes,No,No,17,4
PUT,4061.24,4061.43,-0.09,30,TIMEOUT,48.5,2.4815,low,sideways,No,bearish,71.6,1.1,No,0.11,0.15,No,No,No,No,18,4
PUT,4065.97,4078.17,-6.00,10,SL,62.8,1.9926,low,sideways,Yes,bearish,67.8,10.1,Yes,0.05,0.34,No,Yes,No,No,19,4
CALL,4082.93,4082.20,-0.36,30,TIMEOUT,75.4,2.8728,low,up,No,bullish,57.7,11.7,No,0.10,0.08,No,No,No,No,19,4
CALL,4082.46,4076.51,-2.91,30,TIMEOUT,50.5,1.7791,low,sideways,Yes,bullish,86.6,13.4,Yes,0.05,0.20,No,No,No,No,20,4
CALL,4077.91,4076.61,-0.64,30,TIMEOUT,51.5,1.1382,low,sideways,No,bullish,50.0,8.6,Yes,0.07,0.04,No,No,No,No,21,4
PUT,4077.59,4081.21,-1.78,90,TIMEOUT,47.0,0.7306,low,sideways,No,bearish,51.9,7.8,Yes,0.11,0.27,No,No,No,No,21,4
PUT,4072.08,4075.65,-1.75,30,TIMEOUT,58.2,1.7731,low,sideways,Yes,bearish,72.4,27.6,Yes,0.14,0.19,No,No,No,No,2,5
PUT,4056.33,4059.23,-1.43,30,TIMEOUT,59.8,1.5271,low,sideways,Yes,bearish,60.9,39.1,Yes,0.10,0.15,No,No,No,No,3,5
CALL,4056.80,4048.77,-3.96,30,TIMEOUT,49.3,1.7562,low,sideways,Yes,bullish,69.1,30.9,No,0.10,0.22,No,No,No,No,4,5
CALL,4055.61,4043.44,-6.00,18,SL,52.8,1.6031,low,sideways,No,bullish,76.2,23.8,Yes,0.04,0.31,No,Yes,No,No,5,5
PUT,4030.00,4039.01,-4.47,30,TIMEOUT,40.6,2.8784,low,sideways,No,bearish,66.9,25.2,No,0.01,0.24,No,No,No,No,7,5
CALL,4035.05,4033.59,-0.72,30,TIMEOUT,48.7,2.1327,low,sideways,Yes,bullish,66.2,14.6,Yes,0.10,0.28,No,No,No,No,7,5
CALL,4046.47,4034.33,-6.00,19,SL,34.9,2.7662,low,sideways,Yes,bullish,77.3,9.3,Yes,0.03,0.31,No,Yes,No,No,10,5
PUT,4035.08,4042.68,-3.77,30,TIMEOUT,44.1,2.8657,low,sideways,No,bearish,68.6,0.5,No,0.04,0.29,No,No,No,No,10,5
CALL,4040.10,4035.29,-2.38,30,TIMEOUT,49.5,2.2136,low,sideways,Yes,bullish,74.3,22.9,No,0.05,0.14,No,No,No,No,11,5
PUT,4034.28,4043.69,-4.67,30,TIMEOUT,38.6,1.7068,low,sideways,No,bearish,69.7,30.3,No,0.08,0.28,No,No,No,No,11,5
CALL,4083.78,4071.53,-6.00,18,SL,72.1,2.6349,low,up,No,bullish,60.3,38.1,No,0.00,0.32,No,Yes,No,No,14,5
PUT,4068.15,4071.59,-1.69,30,TIMEOUT,34.5,2.4519,low,down,No,bearish,77.2,8.3,No,0.15,0.14,No,No,No,No,14,5
CALL,4068.90,4056.69,-6.00,9,SL,44.1,2.6479,low,sideways,Yes,bullish,61.9,22.3,Yes,0.04,0.33,No,Yes,No,No,15,5
PUT,4085.10,4087.01,-0.94,30,TIMEOUT,63.9,2.3447,low,sideways,Yes,bearish,51.6,32.6,Yes,0.08,0.06,No,No,No,No,18,5
CALL,4089.30,4087.78,-0.74,30,TIMEOUT,73.6,1.0991,low,sideways,No,bullish,54.8,36.5,No,0.07,0.11,No,No,No,No,19,5
PUT,4063.23,4075.42,-6.00,3086,SL,22.9,3.1937,low,down,No,bearish,60.1,19.0,No,0.56,2.61,Yes,Yes,No,Yes,20,5
CALL,4162.91,4156.20,-3.22,30,TIMEOUT,47.0,1.4793,low,sideways,Yes,bullish,69.4,22.6,Yes,0.05,0.17,No,No,No,No,5,3
CALL,4156.11,4151.82,-2.06,30,TIMEOUT,37.7,1.6172,low,sideways,Yes,bullish,65.5,26.4,Yes,0.09,0.21,No,No,No,No,6,3
PUT,4159.74,4164.65,-2.36,30,TIMEOUT,39.2,0.9815,low,sideways,No,bearish,53.8,23.1,No,0.05,0.12,No,No,No,No,9,3
CALL,4162.76,4157.66,-2.45,30,TIMEOUT,47.0,1.1122,low,sideways,Yes,bullish,66.7,2.7,Yes,0.06,0.14,No,No,No,No,10,3
PUT,4160.20,4163.08,-1.38,30,TIMEOUT,53.6,1.1467,low,sideways,Yes,bearish,60.8,25.5,Yes,0.06,0.08,No,No,No,No,10,3
PUT,4167.68,4173.23,-2.66,30,TIMEOUT,76.8,1.3046,low,up,Yes,bearish,56.8,40.0,Yes,0.03,0.13,No,No,No,No,11,3
CALL,4152.11,4144.90,-3.47,30,TIMEOUT,39.1,2.1131,low,sideways,Yes,bullish,87.5,12.5,Yes,0.11,0.28,No,No,No,No,13,3
PUT,4145.98,4158.42,-6.00,21,SL,50.9,2.9258,low,sideways,Yes,bearish,52.4,8.5,No,0.00,0.33,No,Yes,No,No,15,3
PUT,4164.73,4164.99,-0.12,30,TIMEOUT,42.7,1.1907,low,sideways,No,bearish,81.4,1.0,Yes,0.08,0.03,No,No,No,No,19,3
CALL,4167.03,4163.38,-1.75,30,TIMEOUT,64.6,0.7692,low,sideways,No,bullish,91.8,8.2,Yes,0.01,0.12,No,No,No,No,20,3
CALL,4163.89,4163.65,-0.12,30,TIMEOUT,45.1,1.3576,low,sideways,Yes,bullish,58.4,17.6,Yes,0.02,0.04,No,No,No,No,20,3
PUT,4164.44,4165.33,-0.43,90,TIMEOUT,56.8,0.6689,low,sideways,Yes,bearish,56.4,17.9,Yes,0.07,0.11,No,No,No,No,21,3
CALL,4165.45,4157.69,-3.73,30,TIMEOUT,49.5,0.5764,low,sideways,Yes,bullish,74.6,21.1,Yes,0.02,0.20,No,No,No,No,0,4
CALL,4153.32,4151.72,-0.77,30,TIMEOUT,61.0,0.9369,low,sideways,No,bullish,50.0,17.0,Yes,0.03,0.10,No,No,No,No,4,4
PUT,4152.79,4155.62,-1.36,18,TIMEOUT,62.7,1.3802,low,sideways,Yes,bearish,63.1,36.9,Yes,0.01,0.10,No,No,No,No,6,4